n1=3, m=4, n=12, N=2911
seed=7
theta_path=D:\研究生\研究生\Quantum Machine learning\code\Train\data\theta_demo.npy
theta_array:
[[5.49786103 0.99199549 3.79542808 2.26487638]
 [3.22549452 1.90032461 4.38469128 2.46030217]
 [1.13916194 3.50335699 5.41554688 1.98090663]]
comp	x	y
1	001100011010	011100110001
0	000000000000	101001111110
2	111100111111	101101111111
2	011101111111	011010000111
1	001000000111	111001011010
0	000000000000	001001100101
0	000000000000	010010010101
1	111110010100	001000101101
1	100010101111	101010010001
1	001101001010	011001111100
0	000000000000	001110001011
2	101011001110	101001100101
2	111110111111	111111111101
2	111110110111	101011010111
2	110111111110	100001010101
2	100111111011	001111000100
1	100101000100	101110000110
2	111111111110	111011011100
0	000000000000	111111001011
1	100000100110	000000100011
1	101111000100	011000010100
1	100101101001	001010110111
1	001100000010	111011100010
2	101110111111	000100001110
0	000000000000	110101100010
0	000000000000	010111011011
1	000110010101	110110110011
2	101111111111	100100100100
2	111111111111	001100001010
0	000000000000	001110101110
1	000011010000	010000100011
0	000000000000	100010111011
0	000000000000	100110011011
0	000000000000	101100100001
0	000000000000	000111001101
0	000000000000	101000000101
1	011011001010	011010000110
2	111011111111	000100010011
2	110111101111	101100111100
0	000000000000	010001001100
0	000000000000	010011101000
0	000000000000	011011111010
2	101011101100	100101000101
0	000000000000	000100011010
2	101111111011	100111010110
0	000000000000	100100100110
1	100010100000	100111100001
2	101011110101	000101000111
1	110001011111	110111000001
2	011111111110	010110110111
1	000000100001	100100100110
2	111011111111	111101001001
0	000000000000	000010101100
0	000000000000	111100010001
1	000000001010	100110011010
0	000000000000	101110100111
2	111100110111	100000000010
0	000000000000	011011000100
2	100101111111	111111010110
1	010111011101	110100011100
1	100011111101	111111011101
0	000000000000	000110101011
0	000000000000	001001000110
2	111010011111	001101111101
1	100011011000	101110011111
0	000000000000	100111100010
1	000101110010	011011000011
0	000000000000	111100101000
2	011011011101	010100111010
2	111011111101	001110111100
0	000000000000	101001100110
2	111111110101	011101100100
0	000000000000	000001011110
0	000000000000	101000110101
1	011001010100	110101001100
0	000000000000	001110101011
2	111101110111	111000001111
1	001001101010	100010111101
2	011111111111	011010100111
1	111011001101	000110011001
0	000000000000	111000011001
2	101111111111	110101011110
0	000000000000	000011011000
2	111010111111	011101001110
1	001000000000	101000010011
1	011000001010	101110111001
1	011000100100	101010111010
0	000000000000	110110111111
1	100000010100	100001101011
0	000000000000	100010001001
1	101000001100	100001010000
1	100001001100	000111001000
1	011000010000	101111010111
2	111111011111	010100110010
0	000000000000	000111010110
0	000000000000	110000010000
2	100111011101	000000010010
0	000000000000	101001000110
0	000000000000	001101111001
2	111101111011	100011010101
0	000000000000	101001000000
0	000000000000	000111010010
0	000000000000	101011101111
0	000000000000	000111110100
1	100011010101	001000111011
2	110110110011	011100010011
1	001000000000	100001110101
2	111110101111	100111010011
0	000000000000	001111100001
1	000010010110	101110110101
2	111101111110	100011110100
1	100011010011	101110100000
0	000000000000	110101001101
2	111011010110	110110010011
1	010001011000	000100010100
1	011101011100	000011100000
0	000000000000	110000011011
0	000000000000	011111010100
0	000000000000	111010101110
1	110100100000	011000110000
1	010110000100	010001000001
1	100110100000	111010011100
0	000000000000	000011100011
1	100101000101	100110100011
1	110011000000	000110001100
2	101111010100	101111010000
1	000010010011	000001110100
1	100000010010	110100011000
0	000000000000	011100000111
1	001101000111	010100100011
1	001001110001	101000000111
0	000000000000	000000110111
0	000000000000	110100011010
2	110111111011	101100001111
2	111111101101	000101011010
1	101000000101	110000101001
0	000000000000	001000101101
2	111111111111	001000010001
2	111111111101	011101110100
0	000000000000	100000001110
2	111011100111	011001101010
2	111111010011	001111101001
2	110100011111	011101101010
2	111110111111	110011000101
0	000000000000	100001011000
0	000000000000	110101100010
2	011111111111	001101101011
0	000000000000	111011000010
0	000000000000	000001100101
0	000000000000	111101100110
1	100100010000	100001111000
1	011000111001	100101111100
1	010010001000	000011111011
0	000000000000	001111110000
1	000010110010	110100100111
0	000000000000	000101111101
1	101011010000	000001101001
0	000000000000	010110100010
2	100111101111	001000011001
2	111010101111	001111111101
2	011101111111	100011110011
1	010111110101	011110010101
1	110000001100	000001101011
1	000000010001	011001101001
1	010100110010	111111010100
0	000000000000	000101001101
0	000000000000	111110101110
0	000000000000	011001100111
1	010000000011	111111110100
1	000101000011	111100000100
2	111100111110	110000101111
2	111101011111	101011111010
1	011001011010	000101111101
0	000000000000	000000110011
0	000000000000	110100001001
1	001010110110	000100000101
2	111111010110	111010100011
1	000000111000	101011111010
2	111111111011	110110001101
0	000000000000	110001111011
1	010110101001	001011010101
2	101111110111	010100110000
1	000001100101	110111000000
0	000000000000	111110110011
2	011111101111	010011111000
1	010111010000	111000010110
0	000000000000	001011101100
1	110001001100	110011000000
2	011001111011	101100010101
0	000000000000	111111100100
0	000000000000	101101101000
0	000000000000	100001101010
2	111110110101	001110010101
2	110111010111	111111101011
1	010000001001	101111011111
2	111111111011	111001110100
1	110101001011	100110101101
0	000000000000	100101011010
0	000000000000	001000111010
1	001011001000	011101110101
0	000000000000	110000100111
0	000000000000	100011110111
0	000000000000	111100010110
2	111111011111	100101100101
2	111101111111	011010111110
2	111010101110	110101110000
1	001110001001	011011111001
2	111111111111	010100001000
0	000000000000	011011011101
1	000010001011	001011101001
2	111101111111	000011110011
0	000000000000	010011110110
0	000000000000	100101010110
1	100011011111	001001010011
1	100100100101	111111110001
1	100010010110	101000000000
0	000000000000	010110001001
2	111111100011	111110011010
2	111111111110	000001111110
2	110101111111	001111001001
1	000011100100	101011010011
2	111100111111	111000101110
2	011110111100	001101111001
1	010001110011	110010100111
1	010001110100	000110100101
2	101101111111	111011111101
2	111111111011	001000101111
2	111001111111	101111111111
2	111011110011	001100100110
0	000000000000	110111111101
1	000000011011	100000111011
0	000000000000	110011101110
1	000110111110	100110100011
2	111111101101	101001011001
1	100100111010	001011101101
2	111111011111	100101100111
0	000000000000	001111000011
1	101001010001	000100000000
1	110101000011	100000001010
1	101010000000	001010001010
0	000000000000	011001001110
0	000000000000	111001010001
0	000000000000	011101110011
2	011111111010	110001010111
0	000000000000	110011110100
0	000000000000	100100100110
1	110010100000	000110101001
0	000000000000	011110011110
2	101111111001	100100111100
0	000000000000	001111010001
1	011010000110	000110010010
0	000000000000	100100110101
0	000000000000	111111110101
1	011111110011	110010010110
0	000000000000	000101100110
1	000101011000	011001101111
2	111111000110	101100110111
0	000000000000	110011111110
2	111111111111	101101100000
2	101111110111	000011000110
2	111111101111	100100111011
0	000000000000	010100001001
0	000000000000	010010011001
1	100001111101	110110111011
1	111101000000	100000110001
2	111111011111	100010001101
0	000000000000	010011111011
0	000000000000	111010110010
0	000000000000	101001001010
0	000000000000	101011001100
0	000000000000	000100001101
1	011110000101	010000010000
1	101000000100	010000101101
0	000000000000	111011111010
2	111111111111	111001111110
1	101110000001	101000010110
0	000000000000	100111110001
0	000000000000	110100001110
2	101111010111	010001110110
1	011000010001	101101010101
1	001010001110	111000011010
2	111101111101	100110011001
2	110111101111	011001011110
1	000001111000	111001101101
2	111011111111	011010010110
1	001000111000	100010101010
0	000000000000	001101010110
0	000000000000	011000110110
2	111111111111	010101100000
1	011100110001	001010101101
2	111111111110	011000000101
1	100001110011	000110101100
2	110111101111	101001010111
1	001100101000	010000111111
1	000000100100	111110111000
0	000000000000	000111010110
0	000000000000	101110011100
0	000000000000	001000100010
1	000110010111	011001100100
0	000000000000	000111100011
2	111000111110	111100101111
2	011110110011	000101010111
1	101000011000	000110101101
0	000000000000	001011010001
0	000000000000	010000101101
1	011111000100	011001010000
0	000000000000	110010100001
0	000000000000	110001011110
1	001001110011	001100010010
2	101111111111	111011110100
2	001001111101	110001011100
1	000000000000	100011100000
2	011111111111	001011010000
1	100100111111	001111010001
2	111110111111	100010011111
2	111111101110	101110101110
1	010000011101	100110111101
0	000000000000	110001101100
0	000000000000	101111000101
0	000000000000	011001001100
1	100000001010	100110000110
1	111010000000	001010011101
0	000000000000	110110100010
1	010000010000	100011110100
1	110000111100	111011100000
0	000000000000	100110011110
2	011101101011	011001110110
1	010010001000	110111001100
0	000000000000	101001101011
2	111111101111	011111011010
2	111101111111	100010101010
1	101010101100	100011011010
1	000100000000	001000111100
2	111111111111	110101110110
0	000000000000	101001000110
2	111111010110	101100100001
2	111111110111	100100001010
0	000000000000	000001011100
1	010000000111	001100110101
1	000010010010	111000011010
1	001001111000	001010010110
1	010000001101	111001011001
1	101110110011	100000100000
1	000100001001	101110110000
1	001011000100	010111100000
2	110111111101	111101000000
1	000110100010	101011010011
2	111111111100	111010111001
2	001111110011	111010100001
2	011111111111	011001011100
0	000000000000	010000101010
1	010101111110	001010000000
0	000000000000	101001011001
2	010111001111	001111011101
0	000000000000	101001100010
1	000011010011	011100101110
2	110111011101	111111110000
1	100101101011	101010111101
1	001001101001	000110001101
2	011110111111	011011101011
2	111100110111	000001111101
0	000000000000	100100101110
1	011001110110	000101000101
2	011101011111	100010110101
2	101111111111	000111101011
2	111011111101	110101011101
2	101111111011	001001011111
0	000000000000	001010101001
0	000000000000	101000101101
1	000000100001	110111101010
1	000010010100	011111100011
0	000000000000	101101101111
1	111100111100	101110010110
0	000000000000	000111111101
2	101011111111	011111010110
1	011110101001	001000111100
1	000101000111	100011001110
0	000000000000	000100001101
2	100111010111	101011111000
1	011011010010	010011111111
1	000110011100	000010101100
1	000000001111	001101111010
2	111010101111	001101011010
2	111111101111	111101010010
0	000000000000	110001100011
2	100111111110	100101011001
1	110100100101	000111010000
1	000010001100	100010011011
2	111101011111	110111101001
1	100001100110	100000101110
0	000000000000	101011010101
0	000000000000	011111011011
2	111010111111	100110010111
1	001110101001	011001010110
2	010101111111	100100100010
0	000000000000	100001000110
0	000000000000	100011000110
2	010010010010	000110000001
2	101101111111	001111100001
0	000000000000	110100011011
1	110100000100	000011010011
2	111110111111	010010001011
0	000000000000	011111010100
2	110110111111	101011111001
1	100000101100	000011101001
1	000101100110	101110001011
0	000000000000	000001000100
2	011101111111	101111110000
2	111111011111	100101110111
1	100010010111	000010100010
0	000000000000	110110110101
1	010000011000	111101110101
0	000000000000	001100000010
1	001011011101	001000011000
2	111111011100	100100011011
2	111011010111	111110010010
2	111101111110	010011100010
0	000000000000	001001100101
1	100011011001	000001111111
0	000000000000	111011111110
0	000000000000	111001100001
0	000000000000	110010010011
0	000000000000	110100000000
0	000000000000	000101010110
1	001100011100	000010011000
1	010001000011	000010011101
2	111000111111	011111001101
0	000000000000	111010100111
1	100010100100	000110000001
0	000000000000	100110011011
0	000000000000	100011001111
0	000000000000	011000101011
1	010001001110	111111100010
1	101111010110	101100001111
1	001010110000	110110110001
2	111111111110	100001110000
0	000000000000	001101111110
0	000000000000	010011011101
0	000000000000	010101000001
2	111010111111	011111101101
0	000000000000	101111111011
0	000000000000	111011000000
1	111010110111	111111110100
1	100011010000	110011001001
0	000000000000	000010111010
1	000010010011	100100010111
1	101000110011	011100011000
2	111101110111	101100011100
1	000100000010	000001111000
2	111111111111	100111111101
1	110001110110	000110010011
2	011011111011	001111000100
2	111011101111	011010001011
2	110011110100	001010000101
2	001111110111	101000111000
1	101110100001	101011010110
1	000100111101	001011111101
1	111001100001	100110111100
1	010001001101	111011010000
0	000000000000	100101011110
1	010101001000	011100110101
0	000000000000	011100101010
1	100001011100	100111010111
0	000000000000	110111101110
1	000110010011	111111001101
1	110010100101	111101010101
0	000000000000	110011011101
1	111111100000	000000100110
2	111011111111	001010011110
2	111110110111	010111101110
0	000000000000	100001001011
1	100100110001	011001110001
1	101010000111	110011101110
0	000000000000	011110101101
2	001111001111	100000011101
0	000000000000	010010000011
1	100110111010	010000000010
0	000000000000	010011011000
0	000000000000	000011000010
1	000011100010	011101100010
1	001110011100	011001110001
1	011010000000	000101110101
2	101110111111	000111100001
2	111111111111	110011000000
1	001001000011	100100000001
2	110111111110	001100001101
2	101111111111	001100100100
0	000000000000	011100010101
1	010100111010	011010000001
1	110111000110	111010110111
2	111111111111	011110011011
0	000000000000	001100010100
1	110100010001	100011000111
0	000000000000	000011001111
0	000000000000	000000010000
0	000000000000	010001000010
1	011100111111	000110111110
2	111111111000	101000000101
2	110001111110	110111101110
0	000000000000	001101010100
2	111011101011	101110100110
0	000000000000	010010010011
1	000000000111	110010100100
2	011010111111	010101110011
2	111111111111	101111111011
0	000000000000	001010011001
0	000000000000	010101000001
1	110011001111	110000100001
0	000000000000	101101010000
2	110111001100	011100010010
0	000000000000	010110000100
2	111111111110	101011001111
1	010010101101	010011100001
0	000000000000	100000111100
1	110011110111	100111001010
2	011111011101	111010010101
1	010110000100	010001101001
0	000000000000	110100111010
1	000111100101	011011010101
1	010001110011	000101011110
1	110010000110	010101000101
0	000000000000	101111011111
0	000000000000	001101001011
0	000000000000	000000110000
0	000000000000	100001110111
0	000000000000	101010010011
2	011111010001	111110010101
1	111010001000	111100100000
0	000000000000	011001110001
2	111110111111	111001101000
0	000000000000	100001110000
0	000000000000	110001010000
1	000100111110	111000001001
0	000000000000	100100111110
0	000000000000	111110010000
1	010100100101	101110111001
2	100101111011	011111000101
1	000001000110	000001011110
1	110010100000	110001111011
2	111011111111	000111110111
0	000000000000	111000111110
1	000000101010	000011001001
1	001000100010	100011000000
2	111111101111	000011111011
1	000010011100	100010110000
0	000000000000	101100110011
1	001110000000	110001111111
2	101111111111	101100000000
2	101101111111	011111100110
1	001001111101	000011011010
1	001000011001	111100101010
1	101111101100	001110111001
2	110100100011	111001101000
0	000000000000	110111101010
1	101110010100	110001010111
0	000000000000	111001100101
0	000000000000	010101001110
2	011111011111	000111100111
1	000011000101	011110010010
2	111111101111	110000101000
0	000000000000	110001011101
0	000000000000	100000000011
2	111101110011	000011110110
2	111011011111	001110110011
2	101101011011	000010100111
1	000101000110	110100100100
2	101111111110	011111000011
1	001011001010	011001010111
0	000000000000	000111011110
1	010110011010	011111101001
0	000000000000	000011100000
2	111001110111	000010011100
0	000000000000	111110101100
2	100101111010	001111100110
0	000000000000	100111000000
0	000000000000	111000001010
1	000110010011	001011110100
0	000000000000	100100110101
1	110001000000	010011111100
2	101111111001	100001101101
2	111111111111	101011001000
1	000011101011	010111101111
1	001000011100	100111100101
2	111111110111	010101110111
0	000000000000	001100010100
2	100111111111	111100101011
2	001110110111	111100011010
1	000110101111	011101010011
1	100101000000	111010110101
1	100100010010	011000101011
2	110111111000	111111101101
1	001000100011	110011011000
1	011010100011	000101011000
2	111111111111	110001001011
1	000011001011	101010011110
2	001111110111	101111011101
0	000000000000	001111011111
1	010000001001	001000010010
0	000000000000	011000011001
1	111001000001	001110100110
2	111111111111	010000000000
1	001011001000	011011101110
2	011101110111	011110111100
1	000011010111	100111001001
2	111111101101	011101011000
0	000000000000	011100001011
0	000000000000	111011111010
1	010000100101	001100011000
1	011000001011	000010010011
1	001000000011	100001000011
0	000000000000	111001000010
2	011111100111	011000110101
2	011001110111	111111001001
1	000010101111	101001101001
1	010110000000	001001111010
1	111001010000	111100100001
1	001000000100	001010010101
0	000000000000	010000100100
0	000000000000	101000010011
1	101100101110	011000011101
2	110111011101	101100100101
0	000000000000	011110111011
2	111011111111	000101111010
2	111101111110	001010100001
2	011111111111	011000111101
0	000000000000	001010100101
0	000000000000	000010000100
2	010111111111	011001101100
1	100001101000	110110100101
1	001110110010	011110111111
0	000000000000	001111111110
2	101111110111	111011000011
0	000000000000	000000000011
0	000000000000	010110011110
2	111111011111	110100101101
0	000000000000	110101101110
0	000000000000	000010111100
2	100111110111	101101011011
2	101111111111	001000100111
0	000000000000	011001001010
1	010001001010	100011100111
1	111001100010	101001011011
0	000000000000	011011100101
0	000000000000	101011111001
0	000000000000	111101101100
0	000000000000	011110000100
0	000000000000	010101100111
0	000000000000	000010101101
2	111111011100	010000110001
0	000000000000	111101001110
0	000000000000	101001111010
1	001011010000	010111100110
2	011110111111	011111011110
0	000000000000	001000101011
1	000100100010	111000010101
2	011101111101	001101101101
0	000000000000	111011010001
2	111110110111	011001000100
0	000000000000	010000001110
1	110100100011	101100010010
1	000001001011	111010010100
0	000000000000	001100000111
0	000000000000	000011000000
1	101001001001	100110010101
0	000000000000	101100101000
0	000000000000	001110101000
2	110001111011	101010000101
0	000000000000	100010111011
0	000000000000	011110011110
1	001001011100	110101100001
0	000000000000	100010001000
1	110000001000	110110100111
1	001001111000	100101000110
1	110111000111	000100001110
1	110101011011	110011010111
0	000000000000	111011010011
2	111101101100	000011000101
1	000111000000	100101010101
1	001101111010	000011010111
0	000000000000	111101000100
2	111101111111	110011000011
0	000000000000	011010010100
0	000000000000	101010000101
0	000000000000	101110111011
1	000101110001	101100100011
2	111111110100	010111000010
0	000000000000	100000100101
1	000000101101	001011001100
1	001101000000	100011011100
2	111111101111	111110011001
1	011001001011	011101111000
2	111101111011	111010000100
1	000010011000	010001110100
0	000000000000	100100000111
1	100101000100	000001111000
1	000010000101	001111111111
0	000000000000	000100010111
0	000000000000	000101100101
1	011011010011	010111011010
0	000000000000	101101001010
1	000101110110	011010101011
1	001010111101	100110110001
0	000000000000	101010101011
